Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Tesela,Poligon,TipEstr,Huso
45,"0340","A",,"601","322829","4433776","1","1","3",,"25","9",,,1133472,34,30
45,"0342","A",,"601","334890","4433793","1","2","3",,"15","9",,,1133053,34,30
45,"0343","A",,"601","336890","4433793","1","1","3",,"35","9",,,1133743,34,30
45,"0345","A",,"601","318815","4432781","1","1","1",,"30","1",,,1127021,18,30
45,"0347","A",,"601","326845","4432770","1","1","3",,"25","9",,,1133394,34,30
45,"0348","A",,"601","314862","4431768","1","1","1",,"55","1",,,1128718,31,30
45,"0350","A",,"601","320814","4431770","1","2","3",,"15","9",,,1133079,34,30
45,"0351","A",,"601","322823","4431760","1","1","1",,"40","1",,,1127925,31,30
45,"0352","A",,"601","324890","4431793","1","1","3",,"30","9",,,1133502,34,30
45,"0354","A",,"601","338931","4431795","1","1","1",,"30","1",,,1127008,18,30
45,"0359","A",,"601","320816","4430764","1","1","3",,"30","9",,,1133650,34,30
45,"0363","A",,"602","343908","4447833","1","1","3",,"40","9",,,1133885,34,30
45,"0364","A",,"602","349941","4446816","1","1","2",,"75","1",,,1132499,403,30
45,"0366","A",,"602","347898","4445832","1","1","1",,"20","1",,,1126071,15,30
45,"0367","A",,"602","348951","4445808","1","1","1",,"75","1",,,1129789,15,30
45,"0368","A",,"602","349935","4445828","1","1","2",,"90","1",,,1132657,61,30
45,"0369","A",,"602","354891","4445828","1","1","1",,"80","1",,,1129974,29,30
45,"0371","A",,"602","361890","4445793","1","1","1",,"65","1",,,1129431,403,30
45,"0372","A",,"602","363890","4445793","1","1","1",,"40","1",,,1127985,403,30
45,"0374","A",,"602","353889","4444806","1","1","1",,"80","1",,,1129974,29,30
45,"0375","A",,"602","354901","4444787","1","1","1",,"70","1",,,1129666,29,30
45,"0377","A",,"602","351883","4443812","1","1","1",,"80","1",,,1129916,15,30
45,"0380","A",,"602","361924","4443875","1","1","1",,"55","1",,,1128736,403,30
45,"0383","A",,"602","367890","4443793","1","2","3",,"15","9",,,1133030,34,30
45,"0384","A",,"602","345918","4441829","1","1","3",,"45","9",,,1133929,34,30
45,"0385","A",,"602","347890","4441793","1","1","3",,"30","9",,,1133517,34,30
45,"0386","A",,"602","349914","4441798","1","1","3",,"35","9",,,1133691,34,30
45,"0389","A",,"602","359890","4441850","1","1","1",,"65","1",,,1129429,403,30
45,"0390","A",,"602","363935","4441794","1","1","1",,"40","1",,,1127650,18,30
45,"0391","A",,"602","365978","4441814","1","1","3",,"40","9",,,1133878,34,30
45,"0394","A",,"602","343903","4439807","1","1","3",,"40","9",,,1133872,34,30
45,"0395","A",,"602","345918","4439797","1","1","3",,"45","9",,,1133921,34,30
45,"0397","A",,"602","351890","4439793","1","1","1",,"65","1",,,1129270,18,30
45,"0399","A",,"602","363902","4439779","1","1","3",,"40","9",,,1133873,34,30
45,"0405","A",,"602","347917","4437843","1","1","3",,"40","9",,,1133781,34,30
45,"0406","A",,"602","349890","4437793","1","1","3",,"30","9",,,1133527,34,30
45,"0407","A",,"602","351880","4437802","1","1","3",,"45","9",,,1133933,34,30
45,"0408","A",,"602","357907","4437783","1","1","3",,"40","9",,,1133865,34,30
45,"0412","A",,"602","365890","4437793","1","1","3",,"40","9",,,1133895,34,30
45,"0414","A",,"602","369890","4437793","1","1","3",,"35","9",,,1133764,34,30
45,"0415","A",,"602","363890","4436793","1","1","2",,"40","1",,,1131907,31,30
45,"0416","A",,"602","368890","4436793","1","1","2",,"60","1",,,1132186,44,30
45,"0419","A",,"602","347890","4435834","1","1","1",,"35","1",,,1127516,403,30
45,"0420","A",,"602","349859","4435827","1","1","3",,"20","9",,,1133312,34,30
45,"0421","A",,"602","351890","4435793","1","2","3",,"10","9",,,1132809,34,30
45,"0423","A",,"602","359907","4435829","1","1","3",,"35","9",,,1133704,34,30
45,"0425","A",,"602","363893","4435812","1","1","1",,"60","1",,,1128974,18,30
45,"0427","A",,"602","360891","4434854","1","1","5",,"25","3",,,1136128,33,30
45,"0431","A",,"602","351839","4433840","1","1","3",,"30","9",,,1133619,34,30
45,"0434","A",,"602","357912","4433797","1","1","1",,"60","1",,,1128972,18,30
45,"0437","A",,"602","347890","4431793","1","2","3",,"15","9",,,1132913,34,30
45,"0438","A",,"602","349890","4431793","1","2","3",,"15","9",,,1133052,34,30
45,"0440","A",,"602","356890","4431793","1","2","2",,"10","1",,,1130176,44,30
45,"0446","A",,"602","353873","4429781","1","1","1",,"65","1",,,1129305,18,30
45,"0449","A",,"603","376890","4446793","1","1","3",,"30","9",,,1133634,34,30
45,"0450","A",,"603","378894","4446809","1","2","3",,"15","9",,,1133037,34,30
45,"0457","A",,"603","386890","4444793","1","2","2",,"10","1",,,1131297,888,30
45,"0462","A",,"603","376883","4442748","1","1","1",,"60","1",,,1128979,18,30
45,"0465","A",,"603","372890","4440793","1","1","3",,"25","9",,,1133452,34,30
45,"0466","A",,"603","374890","4440793","1","1","1",,"35","1",,,1127389,18,30
45,"0467","A",,"603","370883","4438798","1","1","3",,"40","9",,,1133869,34,30
45,"0470","A",,"604","424941","4436795","1","1","2",,"65","1",,,1132249,24,30
45,"0484","A",,"625","310926","4429803","1","1","3",,"45","9",,,1133967,34,30
45,"0485","A",,"625","298924","4427798","1","1","3",,"30","9",,,1133608,34,30
45,"0486","A",,"625","304950","4427778","1","1","1",,"40","1",,,1127728,18,30
45,"0487","A",,"625","306930","4427778","1","1","3",,"35","9",,,1133734,34,30
45,"0489","A",,"625","310964","4427807","1","1","3",,"45","9",,,1133967,34,30
45,"0491","A",,"625","298919","4425829","1","1","3",,"45","9",,,1133964,34,30
45,"0493","A",,"625","306913","4421798","1","1","3",,"40","9",,,1133785,34,30
45,"0498","A",,"625","308914","4415790","1","1","1",,"35","1",,,1127354,18,30
45,"0499","A",,"625","310890","4415793","1","1","1",,"45","1",,,1128069,18,30
45,"0502","A",,"626","315890","4429804","1","1","3",,"20","9",,,1133128,34,30
45,"0503","A",,"626","317890","4429793","1","1","3",,"20","9",,,1133144,34,30
45,"0504","A",,"626","318850","4429793","1","1","3",,"40","9",,,1133813,34,30
45,"0509","A",,"626","323875","4429785","1","1","1",,"35","1",,,1127240,18,30
45,"0512","A",,"626","319901","4428811","1","2","3",,"10","9",,,1132874,34,30
45,"0513","A",,"626","320890","4428793","1","1","3",,"20","9",,,1133108,34,30
45,"0515","A",,"626","322890","4428793","1","1","3",,"35","9",,,1133692,34,30
45,"0517","A",,"626","324890","4428793","1","1","3",,"25","9",,,1133439,34,30
45,"0519","A",,"626","326823","4428800","1","1","3",,"35","9",,,1133682,34,30
45,"0520","A",,"626","327840","4428819","1","1","1",,"35","1",,,1127472,31,30
45,"0524","A",,"626","316890","4427793","1","1","3",,"40","9",,,1133853,34,30
45,"0525","A",,"626","317890","4427793","1","1","3",,"25","9",,,1133388,34,30
45,"0530","A",,"626","322890","4427793","1","1","3",,"40","9",,,1133793,34,30
45,"0533","A",,"626","325890","4427793","1","2","3",,"10","9",,,1132856,34,30
