Estrato,Estadillo,Cla,Subclase,Especie,CD,NPies,ABas,VCC,VSC,IAVC,VLE,BA,BR,CA,CR,Proceso,Provincia
"02","1108","A","1","045",25,14.14711800217229,0.7056,1.268904255979978,1.013071099031681,0.02794692968105148,0.6551736020422683,3.814122330896592,2.281932397289271,1.907061165448296,1.140966198644635,"45","45"
"01","1112","A","1","045",10,891.2684341368544,6.838149999999999,14.89625502735765,8.671367381866583,0.6317975058891759,3.77627158844306,27.43452920336518,22.11479028135435,13.71726460168259,11.05739514067717,"45","45"
"01","1112","A","1","045",15,95.49304651466295,1.65173125,3.312811450572084,2.343341993630212,0.1076523746084055,1.142675000276614,6.843940273411532,5.341750355711599,3.421970136705766,2.6708751778558,"45","45"
"07","1115","A","1","026",10,127.3240620195506,0.8281000000000001,2.054845090502746,1.142626938035439,0.2501872855513518,0.1757886536137797,1.445398267446366,0.2763411239528435,0.7226991337231832,0.1381705619764217,"45","45"
"07","1115","A","1","026",15,63.6620310097753,1.25848125,4.95498974275423,2.903853809600482,0.3573077676988936,0.3057339790848349,3.150099994113272,0.6602963543922262,1.575049997056636,0.3301481771961131,"45","45"
"07","1115","A","1","026",20,477.4652325733148,15.009175,73.48740149419686,44.74519107080317,4.095548399748161,3.855520066481077,41.29097769030684,9.491691635813165,20.64548884515342,4.745845817906583,"45","45"
"07","1115","A","1","026",25,155.6182980238952,7.768416666666667,41.92867363323258,26.06171873714889,2.012644392522073,2.109093581377556,23.63223256065034,5.911117240608667,11.81611628032517,2.955558620304334,"45","45"
"07","1115","A","1","026",30,99.02982601520603,6.664302777777777,36.81777039085767,23.20576783074322,1.656831754907635,1.873946026410148,21.16084330612554,5.699061711725634,10.58042165306277,2.849530855862817,"45","45"
"07","1115","A","1","046",40,14.14711800217229,1.804544444444445,4.527594693941443,3.505217297420812,0.05184364709827721,3.029029070090868,5.848873535729077,1.904726389432669,2.924436767864539,0.9523631947163343,"45","45"
"17","1117","A","1","026",20,31.83101550488765,1.1025,4.071006484166822,2.461140390662323,0.2983998894925403,0.2861218600773732,2.623328824532881,0.72066987227865,1.311664412266441,0.360334936139325,"45","45"
"17","1117","A","1","044",10,254.6481240391012,1.557625,2.564852248178911,1.609753735180044,0.1027820327732005,0.591034890682803,8.105684447298758,3.351661101544122,4.052842223649379,1.675830550772061,"45","45"
"17","1117","A","1","046",20,31.83101550488765,0.8281000000000001,1.964558869665729,1.052452390816035,0.04927591307316551,0.3154881597409733,2.479375582925173,0.8740731922370519,1.239687791462586,0.437036596118526,"45","45"
"17","1117","A","1","046",25,14.14711800217229,0.6696694444444444,1.660211765780717,1.149128793323081,0.02427228012365231,0.4042687489381297,2.532909839355939,0.7068471308406818,1.266454919677969,0.3534235654203409,"45","45"
"01","1123","A","1","023",15,31.83101550488765,0.5890562499999999,1.503411649794273,0.9932091464142634,0.08301486548933765,0.1158533084420611,1.900860937145857,0.8775121037436457,0.9504304685729287,0.4387560518718229,"45","45"
"01","1123","A","1","044",10,381.9721860586518,2.708475,5.693033765841878,3.733897801631496,0.1770310143413395,1.070783236708545,13.64491221501629,5.828033257044999,6.822456107508144,2.9140166285225,"45","45"
"01","1123","A","1","045",10,254.6481240391012,2.177225,4.382036771365359,2.584620962682963,0.1937925316766278,1.228800269113993,8.73498575562056,7.041213525635109,4.36749287781028,3.520606762817554,"45","45"
"01","1123","A","1","045",15,159.1550775244383,2.8103625,6.393949095310589,4.730652979768078,0.1812163475195397,1.959052015054123,11.78660286652323,9.088799938884451,5.893301433261616,4.544399969442225,"45","45"
"17","1127","A","1","045",15,31.83101550488765,0.7525562499999999,1.269710216222307,0.8936424801234897,0.0426616711253124,0.5657102772801896,3.249705252754179,2.433790373664292,1.624852626377089,1.216895186832146,"45","45"
"17","1127","A","1","045",20,31.83101550488765,1.0201,1.718212127985196,1.2853148181078,0.05008587746368525,0.8357580668256549,4.686429776426698,3.299035201920046,2.343214888213349,1.649517600960023,"45","45"
"05","1128","A","1","045",40,14.14711800217229,1.941377777777778,3.66592564156678,3.120605791580987,0.04589156327691664,2.400447163280028,14.84996677195659,6.27847625636134,7.424983385978294,3.13923812818067,"45","45"
"05","1128","A","1","045",45,20.3718499231281,3.245926,6.10218947248955,5.221678600898477,0.07085857295496686,4.188896787593636,25.55041717108865,10.49742587670575,12.77520858554433,5.248712938352873,"45","45"
"05","1128","A","1","045",50,10.18592496156405,1.930925,3.731854284263123,3.214340067289991,0.03841347551992419,2.616417780322748,16.78928634249528,6.24467164715956,8.39464317124764,3.12233582357978,"45","45"
"05","1128","A","1","045",55,5.092962480782025,1.203409,2.344859522697273,2.033595318822549,0.02123640047631784,1.735317035598168,11.20090244316403,3.891862222632489,5.600451221582017,1.945931111316245,"45","45"
"02","1130","A","1","045",15,127.3240620195506,2.24905,4.637589341852446,3.272745153007937,0.1453103217457176,1.563877052171008,9.375423972235117,7.273497814800786,4.687711986117558,3.636748907400393,"45","45"
"05","1132","A","1","045",55,5.092962480782025,1.134225,2.118142360284508,1.831472192102662,0.02067545459406952,1.608378398917399,9.467495281051951,3.66811900980077,4.733747640525976,1.834059504900385,"45","45"
"05","1132","A","1","045",60,5.092962480782025,1.401856,2.709072456675506,2.359283461363026,0.02273718312934244,2.110706105676141,13.22153851521045,4.533646007276571,6.610769257605226,2.266823003638286,"45","45"
"05","1132","A","1","045",70,5.092962480782025,2.033476,3.818997311937426,3.359290938014485,0.0267249837744825,3.401533636314992,19.23901472613968,6.576324778217399,9.619507363069841,3.2881623891087,"45","45"
"15","1134","A","1","045",50,5.092962480782025,0.9940090000000001,1.958946732149626,1.689827000064671,0.01946749125154103,1.357882091369837,9.090610801536803,3.214656094525384,4.545305400768402,1.607328047262692,"45","45"
